,COPOD_ROC,DeepSVDD_ROC,COPOD_PR,DeepSVDD_PR
0_2_000000000_000000000_media_religion,0.49847471121854114,0.5149410259180333,0.5169733468103165,0.5127641879720165
0_2_000000001_000000001_good news_weird news,0.6061188855821291,0.4220016780809638,0.621084060260499,0.46145506640397094
0_2_000000100_000000100_entertainment_comedy,0.5463821918014554,0.5307726799864008,0.557934254330495,0.550400551855315
0_2_000100000_000100000_latino voices,0.5523416085832876,0.48561281227973996,0.5364046251095935,0.5042222597193474
0_2_000101000_000101000_black voices_women,0.5069516469115967,0.4893025873246018,0.501915426747975,0.4921729430972086
0_2_000101010_000101010_queer voices,0.4684853388317053,0.4606776408212914,0.4793039532045833,0.4653270053664096
0_2_001000100_001000100_style,0.5100874008175307,0.426596835971699,0.5004501337832135,0.44127315754729585
0_2_010000000_010000000_fifty,0.2206769815177392,0.4573785116270065,0.3536059547718971,0.47215134917930207
0_2_010000001_010000001_politics_sports,0.5618523991779285,0.5132731466917985,0.551561526012466,0.5139736475042087
0_2_010000010_010000010_wellness_parenting_divorce,0.407523790338152,0.5319366611100815,0.4195069520831402,0.5245225531860329
0_2_010001000_010001000_college,0.4201511993251503,0.4386010623991393,0.44454890382415063,0.451637408816664
0_2_010010001_010010001_business_crime,0.5151165248281432,0.49255903192364814,0.531008054947395,0.48951260059361984
0_2_010011001_010011001_education,0.41532353753564494,0.48252667779294994,0.43180835530584416,0.47716444908272504
0_2_010011011_010011011_money,0.4507351300584783,0.44064022602622444,0.44153531427929765,0.4593715108445735
0_2_011000010_011000010_weddings,0.43093583237743993,0.5560786168949108,0.4275340896814275,0.5446001049954294
0_2_011000110_011000110_home & living,0.525987145276063,0.4744741565929355,0.4976977202067544,0.4910471464501867
0_2_100000001_100000001_world news_u.s. news,0.6785469648321876,0.4714032497045639,0.6835217378594856,0.4739773514703085
0_2_100000010_100000010_impact,0.4527456827405848,0.5595397724351834,0.4554054805723214,0.5466095359452144
0_2_100001000_100001000_environment,0.48357209341487684,0.44413597190866205,0.5011308934636189,0.45909325694102604
0_2_100011000_100011000_science,0.5223756153373845,0.4943719592736861,0.5427337983326552,0.49499632263231447
0_2_101000100_101000100_food & drink,0.5759207516455589,0.4909117257183815,0.5414747611508207,0.48605681071052054
0_2_101000101_101000101_arts & culture,0.45132190800674343,0.46030840164440656,0.4626537912178293,0.4717343157923909
0_2_110000110_110000110_healthy living tips,0.43010574779049765,0.5118921296303321,0.45521869990044594,0.5020313249112722
0_2_110011001_110011001_tech,0.6049040664893233,0.5534716148129942,0.5681075250119267,0.5412352288990534
0_2_111000100_111000100_travel,0.4383223650647893,0.5771174063871034,0.43929611609110303,0.5657014534788332
0_3_000000000_000000000_media_religion,0.5274674514239664,0.44445283935231283,0.5522065989101368,0.4625606566827628
0_3_000000001_000000001_good news_weird news,0.5820336907024275,0.47798641758399374,0.6055932580643184,0.47613987937433777
0_3_000100000_000100000_latino voices,0.5971375988722687,0.478650638264547,0.5630365702998583,0.4962675918593458
0_3_000101000_000101000_black voices_women,0.5213742777222883,0.5053328952646099,0.5139473455619581,0.5052056809717951
0_3_000101010_000101010_queer voices,0.4519805044179747,0.4910030081364728,0.46697277335048953,0.4912938996574678
0_3_001000100_001000100_style,0.5103726964997486,0.5935399566801274,0.5013131338324797,0.5905673073348777
0_3_010000000_010000000_fifty,0.2267030636320238,0.5070330614259928,0.3557001192852701,0.5013381191608661
0_3_010001000_010001000_college,0.4366617866399335,0.46044351190767274,0.46064314845507287,0.4659241958668996
0_3_010010001_010010001_business_crime,0.5244514297255677,0.4668552867126512,0.5361281001029761,0.47774046669030573
0_3_010011001_010011001_education,0.4265470785725679,0.46366451532587183,0.4375748689814072,0.46798128049081533
0_3_010011011_010011011_money,0.48168466332158927,0.5292420779261212,0.4593407023276185,0.5133029567827274
0_3_011000010_011000010_weddings,0.4111881612741336,0.5259800565165531,0.4173614780560956,0.5124211278094742
0_3_011000110_011000110_home & living,0.555667438271605,0.5358895426097394,0.5143950011166314,0.5462961526476511
0_3_100000001_100000001_world news_u.s. news,0.7413825327484326,0.5208200473055211,0.7401578726071467,0.5242760603100959
0_3_100000010_100000010_impact,0.45811960136612706,0.47423550796753666,0.45959242528007294,0.4717286314281567
0_3_100001000_100001000_environment,0.5037609582082554,0.5038471528195981,0.5184973043342236,0.4981334502319404
0_3_100011000_100011000_science,0.5143874285000357,0.4968114242127093,0.5456267222322255,0.5007514860842868
0_3_101000100_101000100_food & drink,0.5657747264933571,0.4800679666339994,0.5319327202800974,0.4909511489610355
0_3_101000101_101000101_arts & culture,0.46821991090414017,0.5459567117173459,0.4799434795982752,0.5385859651084848
