,Dataset_name,Anomaly_classes,Training_sample_size,Test_sample_size,Test_balance_size,Test_length_dev,Anomaly_All_ratio_dev,Test_size_balance_dev,Test_All_ratio_dev,Test_Train_ratio_dev,Anomaly_test_ratio_dev,Amount_of_classes
0,1_politics,['politics'],121747,62859 (17.0%),10681 A,62859,0.05785835779985483,10681,0.34050355893091233,0.5163084100634924,0.16991997963696528,1
1,2_politics_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'tech'
 'sports' 'entertainment' 'weird news' 'environment' 'education' 'crime'
 'science' 'wellness' 'business' 'style' 'food & drink' 'media'
 'queer voices' 'home & living' 'women' 'black voices' 'travel' 'money'
 'religion' 'latino voices' 'impact' 'weddings' 'college'
 'healthy living tips' 'good news' 'fifty' 'divorce']",24921,62859 (83.0%),10681 N,62859,0.5944178628389155,10681,0.7160970608339029,2.522330564584086,0.8300800203630347,33
2,3_politics_wellness,"['politics', 'wellness']",109186,62859 (25.6%),16065 A,62859,0.09337673283152663,16065,0.36536371298206866,0.5757056765519389,0.2555719944637999,2
3,4_politics_wellness_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'tech'
 'sports' 'entertainment' 'weird news' 'environment' 'education' 'crime'
 'science' 'business' 'style' 'food & drink' 'media' 'queer voices'
 'home & living' 'women' 'black voices' 'travel' 'money' 'religion'
 'latino voices' 'impact' 'weddings' 'college' 'healthy living tips'
 'good news' 'fifty' 'divorce']",37482,62859 (74.4%),16065 N,62859,0.4663497473614973,16065,0.6264537925673453,1.6770449815911637,0.7444280055362,32
4,5_entertainment_politics,"['entertainment', 'politics']",109594,62859 (25.3%),15890 A,62859,0.09214104712588357,15890,0.3644993128562565,0.5735624213004361,0.2527879858095102,2
5,6_entertainment_politics_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'tech'
 'sports' 'weird news' 'environment' 'education' 'crime' 'science'
 'wellness' 'business' 'style' 'food & drink' 'media' 'queer voices'
 'home & living' 'women' 'black voices' 'travel' 'money' 'religion'
 'latino voices' 'impact' 'weddings' 'college' 'healthy living tips'
 'good news' 'fifty' 'divorce']",37074,62859 (74.7%),15890 N,62859,0.47000490328520106,15890,0.6290114376632344,1.6955008901116686,0.7472120141904899,32
6,7_politics_travel,"['politics', 'travel']",114817,62859 (21.7%),13651 A,62859,0.07683086066773227,13651,0.3537844165784912,0.5474711932901922,0.21716858365548292,2
7,8_politics_travel_INVERT,"['u.s. news' 'comedy' 'parenting' 'world news' 'arts & culture' 'tech'
 'sports' 'entertainment' 'weird news' 'environment' 'education' 'crime'
 'science' 'wellness' 'business' 'style' 'food & drink' 'media'
 'queer voices' 'home & living' 'women' 'black voices' 'money' 'religion'
 'latino voices' 'impact' 'weddings' 'college' 'healthy living tips'
 'good news' 'fifty' 'divorce']",31851,62859 (78.3%),13651 N,62859,0.5195649878576708,13651,0.6636997149192271,1.9735330130922106,0.7828314163445171,32
8,9_politics_parenting,"['politics', 'parenting']",112825,62859 (23.1%),14505 A,62859,0.08256301086040846,14505,0.3577958152136791,0.5571371593175272,0.23075454588841693,2
9,10_politics_parenting_INVERT,"['u.s. news' 'comedy' 'world news' 'arts & culture' 'tech' 'sports'
 'entertainment' 'weird news' 'environment' 'education' 'crime' 'science'
 'wellness' 'business' 'style' 'food & drink' 'media' 'queer voices'
 'home & living' 'women' 'black voices' 'travel' 'money' 'religion'
 'latino voices' 'impact' 'weddings' 'college' 'healthy living tips'
 'good news' 'fifty' 'divorce']",33843,62859 (76.9%),14505 N,62859,0.5000310231432649,14505,0.6500279208289383,1.8573708004609522,0.7692454541115831,32
