,ROC,,,PR,
,COPOD,DeepSVDD,,COPOD,DeepSVDD
easy_0_000000000_000000000_media_religion,0.50,0.52,,0.49,0.52
easy_0_000000001_000000001_good news_weird news,0.57,0.48,,0.57,0.48
easy_0_000000100_000000100_entertainment_comedy,0.43,0.45,,0.45,0.46
easy_0_000100000_000100000_latino voices,0.46,0.43,,0.47,0.45
easy_0_000101000_000101000_black voices_women,0.45,0.51,,0.46,0.51
easy_0_000101010_000101010_queer voices,0.39,0.46,,0.42,0.47
easy_0_001000100_001000100_style,0.37,0.56,,0.41,0.54
easy_0_010000000_010000000_fifty,0.50,0.50,,0.49,0.50
easy_0_010000001_010000001_politics_sports,0.52,0.49,,0.52,0.49
easy_0_010000010_010000010_wellness_parenting_divorce,0.50,0.46,,0.49,0.46
easy_0_010001000_010001000_college,0.51,0.49,,0.49,0.49
easy_0_010010001_010010001_business_crime,0.58,0.52,,0.57,0.52
easy_0_010011001_010011001_education,0.51,0.55,,0.49,0.54
easy_0_010011011_010011011_money,0.49,0.53,,0.47,0.52
easy_0_011000010_011000010_weddings,0.44,0.46,,0.45,0.46
easy_0_011000110_011000110_home & living,0.35,0.40,,0.40,0.43
easy_0_100000001_100000001_world news_u.s. news,0.73,0.55,,0.72,0.56
easy_0_100000010_100000010_impact,0.51,0.48,,0.49,0.49
easy_0_100001000_100001000_environment,0.57,0.48,,0.57,0.48
easy_0_100011000_100011000_science,0.63,0.56,,0.62,0.56
easy_0_101000100_101000100_food & drink,0.49,0.47,,0.48,0.47
easy_0_101000101_101000101_arts & culture,0.47,0.47,,0.47,0.47
easy_0_110000110_110000110_healthy living tips,0.52,0.49,,0.50,0.49
easy_0_110011001_110011001_tech,0.54,0.56,,0.52,0.55
easy_0_111000100_111000100_travel,0.50,0.53,,0.48,0.52
easy_1_000000000_000000001_media_religion_good news_weird news,0.54,0.51,,0.53,0.51
easy_1_000000000_000100000_media_religion_latino voices,0.49,0.51,,0.49,0.51
easy_1_000000000_010000000_media_religion_fifty,0.51,0.50,,0.50,0.50
easy_1_000000100_000000000_entertainment_comedy_media_religion,0.45,0.56,,0.45,0.56
easy_1_000000100_001000100_entertainment_comedy_style,0.40,0.45,,0.43,0.45
easy_1_000101000_000100000_black voices_women_latino voices,0.46,0.50,,0.47,0.50
easy_1_000101010_000101000_queer voices_black voices_women,0.42,0.45,,0.44,0.46
easy_1_010000000_010001000_fifty_college,0.52,0.50,,0.50,0.51
easy_1_010000001_000000001_politics_sports_good news_weird news,0.53,0.47,,0.53,0.48
easy_1_010000001_010000000_politics_sports_fifty,0.52,0.45,,0.52,0.46
easy_1_010000001_010010001_politics_sports_business_crime,0.54,0.50,,0.53,0.49
easy_1_010000010_010000000_wellness_parenting_divorce_fifty,0.50,0.46,,0.49,0.47
